"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000082929",9.90613080672509,2.8049529583268,0.339963295697464,2.24790349047104e-17,3.11334633430239e-16
"ENSG00000122043",1.76693507233534,1.03379546569295,0.291462130386295,0.000201819251007895,0.00047862955932523
"ENSG00000130600",1500.96177966243,3.2037552673991,0.322513247115998,1.85967609600814e-10,1.11620862100597e-09
"ENSG00000132204",23.6705035345586,3.10179678006391,0.458940182770907,6.5864953184592e-11,4.21840278199584e-10
"ENSG00000145063",9.98228801726756,1.84035333904547,0.224590128805799,3.65794732325345e-17,4.90678648203973e-16
"ENSG00000151303",1.43269995144066,-1.4042671636004,0.245371634167203,4.72681244223687e-09,2.33183801691828e-08
"ENSG00000152931",31.8460345950504,1.66852025291423,0.395175692962754,2.06914070234149e-05,5.83360788344624e-05
"ENSG00000163364",95.2745829555965,1.90656501039673,0.272031148802691,6.36854332886312e-12,4.55836305450926e-11
"ENSG00000164385",4.57781039308749,1.81171770045235,0.287704094423931,9.21232017438252e-11,5.74086094106627e-10
"ENSG00000167117",4.72203308529134,4.3138162354164,0.561138665057486,5.45032047566603e-14,5.04086401255256e-13
"ENSG00000167355",6.3941864594767,1.87224777456145,0.384157743272963,0.000320492176710014,0.000737038878776868
"ENSG00000171889",54.7865216531095,3.45975140967884,0.375006696575135,7.86776617393772e-22,1.86271045314594e-20
"ENSG00000175728",2.5841542429192,2.98217331310126,0.545123305131574,1.00357674448302e-07,4.08809938561465e-07
"ENSG00000175746",9.90763251815491,1.87541497107458,0.277851506905125,3.85986090555606e-10,2.19770086503397e-09
"ENSG00000175772",83.7811963440207,1.12027669935363,0.145086567141288,4.8444325980051e-15,5.04476627686998e-14
"ENSG00000176659",130.833481077392,2.87478766340684,0.272873322634147,1.82923895183389e-27,8.23901121395102e-26
"ENSG00000176840",2.18899739944326,2.52371236454182,0.41627704524338,0.00544382132737462,0.00988812136185423
"ENSG00000176912",16.3976844524688,2.25806307228176,0.202104412834425,7.76209191726972e-30,4.67412926322546e-28
"ENSG00000177234",7.79066924364128,3.13294228454,0.380708575807153,1.15923089032532e-17,1.67679872908675e-16
"ENSG00000177335",121.478939118926,1.39321514334664,0.186383901039396,2.33747631375693e-14,2.27585567279673e-13
"ENSG00000177725",6.77787121493063,-1.97299478400582,0.408181788076331,5.86253656104323e-07,2.13253135575702e-06
"ENSG00000177788",656.418607092886,2.01857693989756,0.121493495803327,6.09825702572347e-63,4.82633484607258e-60
"ENSG00000178248",4.97945831382764,1.71486489771333,0.404747501636856,4.38858719784655e-06,1.3869237350867e-05
"ENSG00000178722",5.37459376940471,-1.57357986077727,0.191284425629096,9.3160606275452e-17,1.19193939668823e-15
"ENSG00000179066",55.3731808942151,5.45361254955575,0.338808453242561,3.37257152531775e-60,2.07600513891782e-57
"ENSG00000179136",2.88973373934334,-1.55847732375341,0.251424113154363,2.49337656473799e-10,1.47420556762524e-09
"ENSG00000180066",26.2804535778911,1.84407317420321,0.233726928423306,8.02499994534368e-15,8.14258236212527e-14
"ENSG00000180861",72.0185236267536,6.41339465987406,0.479570963417682,6.04616862145572e-34,5.23371471294761e-32
"ENSG00000181798",18.5001848779392,1.04881164819746,0.138087887009069,1.77445440487481e-14,1.74299244734156e-13
"ENSG00000182057",176.802543734584,1.27134463749634,0.110780227699004,5.77371779245345e-31,3.90078006953563e-29
"ENSG00000183250",244.035861163365,1.20740728648462,0.148034635335075,1.25853147016757e-16,1.59548383174561e-15
"ENSG00000183674",2.05712979245769,6.13227155948159,1.36657792331975,2.23261750229055e-08,9.99894984857692e-08
"ENSG00000184224",4.49375748991147,1.42036282251509,0.259706946659883,1.06772736312571e-08,5.00017716966734e-08
"ENSG00000184385",28.7454345764389,-1.64797989473416,0.288333856743696,5.27868422305458e-09,2.57655599962311e-08
"ENSG00000185168",138.552224989055,1.03587288206545,0.170367192412592,5.57760846669294e-10,3.12436308447714e-09
"ENSG00000185186",5.79339749057132,1.05407939384741,0.271275848272984,4.46532857881634e-05,0.000118137155332581
"ENSG00000185433",4.11138263508727,1.07854896281896,0.25723868622859,1.26416617019243e-05,3.70554528193971e-05
"ENSG00000186594",1109.2707075188,-1.36065000819156,0.123300490751379,1.27401098887284e-28,6.53520451699586e-27
"ENSG00000186960",1.01916011306197,2.67156864019809,0.904309037908071,0.00308639689515613,0.00591034870347908
"ENSG00000187621",14.9876136943897,1.43469471772037,0.324347417929937,8.44189350051528e-09,4.02133189964356e-08
"ENSG00000188511",104.433420411852,-1.07233126278934,0.138936163851737,7.50759403338791e-15,7.66933738284448e-14
"ENSG00000188660",3.23001772030316,2.82659297270638,0.456248958957964,6.14202682236992e-12,4.419068648822e-11
