"gene","pval","survival_direction"
"ENSG00000163364",0.00292798338000544,"High expression = worse survival"
"ENSG00000164385",6.76093566598368e-06,"High expression = worse survival"
"ENSG00000175728",0.00876136878698552,"High expression = worse survival"
"ENSG00000177234",0.044139861211092,"High expression = worse survival"
"ENSG00000180861",0.000993265635538809,"High expression = worse survival"
"ENSG00000183674",0.000463210853993368,"High expression = worse survival"
"ENSG00000184224",0.025716945459145,"High expression = better survival"
"ENSG00000185186",0.0409104089785746,"High expression = worse survival"
"ENSG00000198788",0.000333875523727767,"High expression = worse survival"
"ENSG00000204277",0.00740737641337563,"High expression = worse survival"
"ENSG00000204362",0.00287586378950855,"High expression = worse survival"
"ENSG00000213057",0.00650352960361411,"High expression = worse survival"
"ENSG00000214145",0.0285382837425185,"High expression = worse survival"
"ENSG00000222032",0.0288804485342498,"High expression = worse survival"
"ENSG00000223586",2.75705870391718e-05,"High expression = worse survival"
"ENSG00000224342",0.00496890643881387,"High expression = worse survival"
"ENSG00000224417",0.0265568645684126,"High expression = worse survival"
"ENSG00000224481",0.0018596490959315,"High expression = worse survival"
"ENSG00000224577",0.0073133795688447,"High expression = worse survival"
"ENSG00000224626",0.0459075573973766,"High expression = worse survival"
"ENSG00000224885",0.0240959088890744,"High expression = worse survival"
"ENSG00000224968",0.00628298017377316,"High expression = better survival"
"ENSG00000225206",0.0406685100323065,"High expression = worse survival"
"ENSG00000225255",0.027145591403005,"High expression = worse survival"
"ENSG00000225269",0.0185415102250864,"High expression = worse survival"
"ENSG00000225383",0.0061902869526026,"High expression = better survival"
"ENSG00000225680",0.000558538037894962,"High expression = worse survival"
"ENSG00000225689",0.0420144815687659,"High expression = worse survival"
"ENSG00000225742",0.00633835203926536,"High expression = better survival"
"ENSG00000225857",0.00601416945534106,"High expression = worse survival"
"ENSG00000226053",0.000604290812474817,"High expression = worse survival"
"ENSG00000226562",0.0247656723355034,"High expression = worse survival"
"ENSG00000227195",0.0030013304369676,"High expression = better survival"
"ENSG00000227646",0.0125221312910935,"High expression = worse survival"
"ENSG00000227733",0.000784948412137831,"High expression = worse survival"
"ENSG00000227925",0.00606664521418154,"High expression = better survival"
"ENSG00000228221",0.00781511780640531,"High expression = better survival"
"ENSG00000228271",0.0136409664141177,"High expression = worse survival"
"ENSG00000228437",0.0340950170574291,"High expression = better survival"
"ENSG00000228559",0.0473070693381115,"High expression = better survival"
"ENSG00000228561",0.0265840414741122,"High expression = better survival"
"ENSG00000229401",0.000102992192521967,"High expression = worse survival"
"ENSG00000229656",0.0236568774961945,"High expression = worse survival"
"ENSG00000229955",0.0279864142995312,"High expression = worse survival"
"ENSG00000230269",0.0368500256618196,"High expression = worse survival"
"ENSG00000230461",0.00585581223063703,"High expression = worse survival"
"ENSG00000230506",0.0106552790466327,"High expression = worse survival"
"ENSG00000230628",0.00829903643721563,"High expression = better survival"
"ENSG00000231031",0.0134049959152498,"High expression = better survival"
"ENSG00000231039",0.00746625172297533,"High expression = worse survival"
"ENSG00000232006",0.0339501537959355,"High expression = better survival"
"ENSG00000232034",0.00179180103384735,"High expression = worse survival"
"ENSG00000232079",0.00323065641585585,"High expression = worse survival"
"ENSG00000232233",0.023999181514972,"High expression = worse survival"
"ENSG00000232448",0.0467308078245074,"High expression = worse survival"
"ENSG00000232458",0.0303458622154344,"High expression = worse survival"
"ENSG00000232527",0.0057148688019748,"High expression = worse survival"
"ENSG00000232618",0.0168833133505941,"High expression = worse survival"
"ENSG00000232732",0.000691498786909661,"High expression = worse survival"
"ENSG00000232903",0.0240506846422186,"High expression = worse survival"
