"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000082929",7.56776249410469,2.78377742694642,0.301308902450649,7.3732071167976e-14,4.31118410009695e-13
"ENSG00000093100",8.5937293442353,1.10180357575329,0.206017921609922,4.84711973517605e-08,1.52680278972926e-07
"ENSG00000122548",3.02225945128664,-1.74434876882803,0.344358103540404,1.92785042539494e-07,5.7030170397449e-07
"ENSG00000130600",3430.39691704114,3.19432775596229,0.349759117041353,1.03725475566041e-14,6.54531713802873e-14
"ENSG00000132204",112.363446198187,3.82224998536035,0.362486581681275,1.11247272378663e-27,1.92203118784341e-26
"ENSG00000146521",22.136206481693,-1.45089081855063,0.205554416384476,9.05664758389591e-13,4.70551907076331e-12
"ENSG00000151303",1.68662580650543,-1.54589954894259,0.241521164962305,6.84452528998984e-11,2.93863750474414e-10
"ENSG00000152931",134.332069594729,3.97436511579827,0.339746593826509,1.68374303192554e-33,4.23594299610741e-32
"ENSG00000163364",199.727140158398,2.73412135469833,0.246252837138654,3.64670449000054e-30,7.52427948008744e-29
"ENSG00000164385",8.50612796548241,1.82106594431368,0.230713257151015,3.73214340064961e-16,2.70297658410684e-15
"ENSG00000167117",1.18404009982484,1.72396161249032,0.493805369481006,8.74103781979609e-05,0.00018631955754125
"ENSG00000167355",14.4449698844094,2.2039228465777,0.437125992107598,3.17790144996271e-08,1.02328587507529e-07
"ENSG00000171889",108.882663564018,4.12107121109488,0.369722338555834,8.95253859749707e-31,1.93780231680163e-29
"ENSG00000175728",2.66018533380014,2.68459614328646,0.53839985434985,4.9273000185522e-08,1.55035616601291e-07
"ENSG00000176515",1.45190641185795,1.98661371372508,0.541513033166809,4.12968434563036e-05,9.24224323313919e-05
"ENSG00000176659",58.9800071934143,1.78624092793516,0.270527522322423,4.43992007339302e-09,1.59071714809384e-08
"ENSG00000176754",3.98769305255099,2.99500127760164,0.476437129130673,9.99694140915421e-08,3.04204010201106e-07
"ENSG00000176912",30.0123697559199,2.57505649338545,0.190029683261055,8.25910832196634e-43,3.43291632860862e-41
