"","TCGA-43-7657-11A-01R-2125-07","TCGA-22-5472-11A-11R-1635-07","TCGA-22-5471-11A-01R-1635-07","TCGA-56-8623-11A-01R-A28V-07","TCGA-43-3394-11A-01R-1758-07","TCGA-51-4081-11A-01R-1758-07","TCGA-39-5040-11A-01R-2125-07","TCGA-34-8454-11A-01R-2326-07","TCGA-43-5670-11A-01R-2125-07","TCGA-56-7731-11A-01R-2125-07","TCGA-77-7138-11A-01R-2045-07","TCGA-56-7730-11A-01R-2125-07","TCGA-22-5483-11A-11R-1820-07","TCGA-77-8007-11A-01R-2187-07","TCGA-33-6737-11A-01R-1820-07","TCGA-43-7658-11A-01R-2125-07","TCGA-22-5489-11A-01R-1635-07","TCGA-90-7767-11A-01R-2125-07","TCGA-22-5482-11A-01R-1635-07","TCGA-58-8386-11A-01R-2296-07","TCGA-77-7142-11A-01R-2045-07","TCGA-43-6647-11A-01R-1820-07","TCGA-90-6837-11A-01R-1949-07","TCGA-56-8082-11A-01R-2247-07","TCGA-22-4593-11A-01R-1820-07","TCGA-51-4079-11A-01R-1758-07","TCGA-56-7582-11A-01R-2045-07","TCGA-56-8083-11A-01R-2247-07","TCGA-22-5481-11A-01R-1949-07","TCGA-22-5478-11A-11R-1635-07","TCGA-56-7579-11A-01R-2045-07","TCGA-56-8309-11A-01R-2296-07","TCGA-34-7107-11A-01R-1949-07","TCGA-56-7580-11A-01R-2045-07","TCGA-51-4080-11A-01R-1758-07","TCGA-56-8201-11A-01R-2247-07","TCGA-56-7222-11A-01R-2045-07","TCGA-77-8008-11A-01R-2187-07","TCGA-33-4587-11A-01R-2125-07","TCGA-85-7710-11A-01R-2125-07","TCGA-43-6143-11A-01R-1820-07","TCGA-43-6771-11A-01R-1820-07","TCGA-77-7335-11A-01R-2045-07","TCGA-77-7337-11A-01R-2045-07","TCGA-60-2709-11A-01R-1820-07","TCGA-22-4609-11A-01R-2125-07","TCGA-22-5491-11A-01R-1858-07","TCGA-77-7338-11A-01R-2045-07","TCGA-56-7823-11A-01R-2247-07","TCGA-92-7340-11A-01R-2045-07","TCGA-43-6773-11A-01R-1949-07"
"ENSG00000082929",1,1,0,1,18,3,2,1,5,1,0,2,2,1,2,5,0,4,0,1,1,1,1,2,0,14,1,1,0,1,4,2,1,3,3,1,0,0,7,1,1,1,1,3,1,1,4,0,6,2,1
"ENSG00000093100",12,7,0,2,4,21,14,2,12,1,1,4,1,3,1,5,5,8,4,6,2,7,8,1,1,25,21,3,4,4,3,2,2,4,6,3,0,9,4,16,8,8,0,1,0,3,2,0,7,7,3
"ENSG00000115934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116652",15,9,7,17,20,18,16,7,18,4,13,13,4,5,12,23,7,28,14,13,9,16,6,8,7,22,54,15,6,8,24,7,3,22,39,12,17,19,9,28,18,4,1,9,4,11,11,4,25,23,4
"ENSG00000122043",3,2,1,2,2,3,3,0,8,0,1,0,1,0,0,2,1,0,1,3,1,1,3,1,4,0,0,0,2,1,1,0,3,2,2,2,4,1,4,7,4,1,2,2,1,2,0,0,1,1,3
"ENSG00000122548",7,5,10,15,28,24,18,6,5,2,22,1,1,5,10,17,6,25,11,18,10,12,4,1,1,33,20,11,13,14,17,7,5,31,16,4,10,2,19,21,5,7,3,3,3,10,14,4,12,26,6
"ENSG00000124915",2,3,0,3,6,5,4,3,2,0,3,1,3,0,0,4,0,4,1,0,1,1,2,2,0,4,1,4,1,2,5,0,0,14,5,4,2,3,1,0,4,3,0,0,1,1,1,0,1,1,2
"ENSG00000125514",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000125804",13,48,23,14,58,47,17,9,29,4,1,18,1,15,27,46,7,36,31,5,6,15,12,17,23,43,18,11,17,11,24,16,0,19,23,8,3,13,11,19,3,15,9,4,17,8,10,5,9,22,14
"ENSG00000125899",1,0,0,2,5,6,12,2,1,0,2,1,2,3,1,7,1,5,0,1,2,1,3,2,2,2,3,3,3,7,5,2,0,2,4,0,5,3,3,1,0,3,3,3,4,4,3,0,0,2,0
