"gene","pval","survival_direction"
"ENSG00000146521",0.0102349147940486,"High expression = worse survival"
"ENSG00000152931",0.0363488401112024,"High expression = better survival"
"ENSG00000196243",0.027837935891969,"High expression = better survival"
"ENSG00000203709",0.0292303206029165,"High expression = worse survival"
"ENSG00000223387",0.0410886420738891,"High expression = better survival"
"ENSG00000224034",0.0115650057544326,"High expression = better survival"
"ENSG00000224167",0.0330800508829053,"High expression = worse survival"
"ENSG00000224239",0.0443429763444331,"High expression = worse survival"
"ENSG00000224995",0.0105683648525351,"High expression = worse survival"
"ENSG00000225329",0.0311111785512506,"High expression = worse survival"
"ENSG00000225489",0.0269532915129936,"High expression = better survival"
"ENSG00000225518",0.0244980616079901,"High expression = better survival"
"ENSG00000225826",0.0131920444686722,"High expression = better survival"
"ENSG00000225948",0.0332929337636522,"High expression = worse survival"
"ENSG00000226822",0.0409376765742233,"High expression = worse survival"
"ENSG00000226853",0.0072229204081049,"High expression = better survival"
"ENSG00000228271",0.0129549060423566,"High expression = worse survival"
"ENSG00000228495",0.0483267314105998,"High expression = worse survival"
"ENSG00000228739",0.00285553573905795,"High expression = better survival"
"ENSG00000228877",0.021556517931003,"High expression = worse survival"
"ENSG00000229274",0.00241878048753552,"High expression = worse survival"
"ENSG00000229484",0.0108543318743481,"High expression = worse survival"
"ENSG00000229611",0.0413107274814539,"High expression = better survival"
"ENSG00000230033",0.0443534299005475,"High expression = worse survival"
"ENSG00000230817",0.0311666675140188,"High expression = worse survival"
"ENSG00000231290",0.00654767990921157,"High expression = worse survival"
"ENSG00000232082",0.0396871048934346,"High expression = worse survival"
"ENSG00000232504",0.0337257966906716,"High expression = worse survival"
"ENSG00000233117",0.00569792851554163,"High expression = worse survival"
"ENSG00000234506",0.0211340463507212,"High expression = worse survival"
"ENSG00000234553",0.0133659218369381,"High expression = worse survival"
"ENSG00000234862",0.0397030382901352,"High expression = better survival"
"ENSG00000234913",0.000114636913521204,"High expression = better survival"
"ENSG00000235415",0.047975048886141,"High expression = worse survival"
"ENSG00000236714",0.0422375295219144,"High expression = worse survival"
"ENSG00000236990",0.0424608851706064,"High expression = worse survival"
"ENSG00000237413",0.0245684960709817,"High expression = worse survival"
"ENSG00000237716",0.0421842164176242,"High expression = better survival"
"ENSG00000238099",0.026507952085006,"High expression = worse survival"
"ENSG00000240143",0.0258414029346713,"High expression = worse survival"
"ENSG00000242880",0.0193130441517938,"High expression = better survival"
"ENSG00000243321",0.0208205070949439,"High expression = worse survival"
"ENSG00000244332",0.0228501100624416,"High expression = better survival"
"ENSG00000246375",0.0102095158131594,"High expression = worse survival"
"ENSG00000248265",0.0288242911483791,"High expression = worse survival"
"ENSG00000248370",0.00151652438507233,"High expression = worse survival"
"ENSG00000250497",0.0348266611489021,"High expression = better survival"
"ENSG00000250891",0.0346899626398472,"High expression = better survival"
"ENSG00000250968",0.0473379552236467,"High expression = better survival"
"ENSG00000251061",0.00284171547860745,"High expression = worse survival"
"ENSG00000251138",0.00872419032799143,"High expression = better survival"
"ENSG00000251230",0.0300228313146608,"High expression = worse survival"
"ENSG00000253395",0.0367066433126484,"High expression = better survival"
"ENSG00000253417",0.0029020590308505,"High expression = better survival"
"ENSG00000253824",0.0331969393966141,"High expression = worse survival"
"ENSG00000253968",0.0401788277857089,"High expression = better survival"
"ENSG00000254057",0.0388934889278008,"High expression = worse survival"
"ENSG00000254480",0.0387053962434958,"High expression = better survival"
"ENSG00000254639",0.0227732911151386,"High expression = worse survival"
"ENSG00000254833",0.0234719610934946,"High expression = worse survival"
"ENSG00000255021",0.0294903904032812,"High expression = better survival"
"ENSG00000255135",0.00957741216381935,"High expression = better survival"
"ENSG00000256146",0.00325704200659804,"High expression = better survival"
"ENSG00000256209",0.0383406213029052,"High expression = worse survival"
"ENSG00000256218",0.0137999348283874,"High expression = better survival"
"ENSG00000256417",0.0296896302902603,"High expression = better survival"
"ENSG00000256915",0.0421302333369065,"High expression = worse survival"
"ENSG00000257135",0.0464640996458235,"High expression = better survival"
"ENSG00000257595",0.00182331085114062,"High expression = worse survival"
"ENSG00000257900",0.0388284520155898,"High expression = better survival"
"ENSG00000258441",0.0286323464334726,"High expression = worse survival"
"ENSG00000258498",0.0038946634955348,"High expression = worse survival"
"ENSG00000258517",0.00189401842449233,"High expression = better survival"
"ENSG00000258592",0.0171079968337456,"High expression = better survival"
"ENSG00000258826",0.0356402154336564,"High expression = worse survival"
"ENSG00000259004",0.0315252083645616,"High expression = worse survival"
"ENSG00000259225",0.0237530532228838,"High expression = worse survival"
"ENSG00000260052",0.0080821504305435,"High expression = worse survival"
"ENSG00000260182",0.00495358810021951,"High expression = worse survival"
"ENSG00000260633",0.0100919420182923,"High expression = worse survival"
"ENSG00000260695",0.0246616161546546,"High expression = worse survival"
"ENSG00000260877",0.0040370786033842,"High expression = worse survival"
"ENSG00000260996",0.0336244388749906,"High expression = worse survival"
"ENSG00000261082",0.016263750424922,"High expression = better survival"
"ENSG00000261092",0.0215995559855877,"High expression = worse survival"
"ENSG00000261175",0.0403076793957542,"High expression = worse survival"
"ENSG00000261324",0.0224035864384613,"High expression = better survival"
"ENSG00000261392",0.0292634473732376,"High expression = better survival"
"ENSG00000261404",0.0280529515376967,"High expression = better survival"
"ENSG00000261468",0.0179378827703117,"High expression = worse survival"
"ENSG00000261553",0.0434484092526646,"High expression = worse survival"
"ENSG00000261625",0.0484116735563238,"High expression = worse survival"
"ENSG00000261757",0.00341051919595237,"High expression = worse survival"
"ENSG00000261807",0.0306486487189941,"High expression = worse survival"
"ENSG00000264705",0.021473530438983,"High expression = worse survival"
"ENSG00000265380",0.00300018912239675,"High expression = worse survival"
"ENSG00000265728",0.014035167688641,"High expression = better survival"
"ENSG00000266604",0.0469470279991651,"High expression = better survival"
"ENSG00000267409",0.0233924207557182,"High expression = worse survival"
"ENSG00000267454",0.0192034821240897,"High expression = worse survival"
"ENSG00000267593",0.0245001290814717,"High expression = worse survival"
"ENSG00000267943",0.0139209886351865,"High expression = worse survival"
"ENSG00000268186",0.0106715977969869,"High expression = worse survival"
"ENSG00000268307",0.0445181358880159,"High expression = worse survival"
"ENSG00000268401",0.0336418462860728,"High expression = better survival"
"ENSG00000269246",0.0298471533858455,"High expression = better survival"
"ENSG00000270019",0.0329054975686356,"High expression = better survival"
"ENSG00000271952",0.028686039440767,"High expression = worse survival"
"ENSG00000272040",0.0146276443163782,"High expression = worse survival"
"ENSG00000272128",0.00614759525436781,"High expression = better survival"
"ENSG00000272555",0.0377115581298473,"High expression = worse survival"
"ENSG00000272735",0.00188044424886846,"High expression = better survival"
"ENSG00000273348",0.0240812179167431,"High expression = worse survival"
"ENSG00000274370",0.00388251314938282,"High expression = worse survival"
"ENSG00000274414",0.0448107638488722,"High expression = worse survival"
"ENSG00000274528",0.0299671227934483,"High expression = better survival"
"ENSG00000275210",0.0188220254602433,"High expression = worse survival"
"ENSG00000275465",0.0441688484667865,"High expression = better survival"
"ENSG00000275576",0.0381895397928681,"High expression = better survival"
"ENSG00000276445",0.0488147303785805,"High expression = better survival"
"ENSG00000276668",0.00554577866302319,"High expression = worse survival"
"ENSG00000277534",0.0204165403430921,"High expression = better survival"
"ENSG00000278996",0.0444311852079232,"High expression = better survival"
"ENSG00000280179",0.0208635787578541,"High expression = worse survival"
